en,tr,pos,emoji,yuksek_getiri,syn,kaynaklar,cikmis_tekrar,cikmis_donemler,grup,example,exampleTr,tier
"sublimate","süblimleşmek, katıdan gaza geçmek","v","💨",0,"vaporize; evaporate; gasify","Koç havuzu",0,"",,"Dry ice does not melt; instead it sublimates directly into carbon dioxide gas.","Kuru buz erimez; bunun yerine doğrudan karbondioksit gazına süblimleşir.",3
"saturate","doyurmak, doygun hale getirmek, iyice ıslatmak","v","🎬",0,"soak; drench; permeate","Koç havuzu",0,"",,"Heavy rainfall can saturate the soil until it can hold no more water.","Şiddetli yağış, toprağı daha fazla su tutamayacak hale gelinceye kadar doyurabilir.",2
"permeate","nüfuz etmek, sızmak, yayılmak","v","🌐",0,"penetrate; pervade; infiltrate","Çıkmış sorular; Koç havuzu",1,"2021-2",,"Oxygen molecules permeate the thin membrane of the lung tissue.","Oksijen molekülleri, akciğer dokusunun ince zarına nüfuz eder.",2
"infiltrate","sızmak, içine işlemek, süzülmek","v","🕊️",0,"seep; penetrate; permeate","Koç havuzu",0,"",,"Rainwater slowly infiltrates the ground and replenishes the underground aquifer.","Yağmur suyu yavaşça yeraltına sızar ve yeraltı akiferini besler.",1
"seep","sızmak, süzülmek","v","🕊️",0,"leak; ooze; trickle","Zafer Hoca; Koç havuzu",0,"",,"Contaminated liquid can seep through cracks and reach the water table.","Kirlenmiş sıvı, çatlaklardan sızarak yeraltı su tablasına ulaşabilir.",2
"drain","boşaltmak, akıtmak, süzülmek","v","⭕",0,"empty; discharge; remove","Zafer Hoca; Koç havuzu",0,"",,"Engineers designed channels to drain excess water away from the reservoir.","Mühendisler, fazla suyu rezervuardan uzaklaştırmak için kanallar tasarladı.",1
"sterilize","sterilize etmek, mikroplardan arındırmak","v","🏞️",0,"disinfect; sanitize; decontaminate","Koç havuzu",0,"",,"Surgical instruments are sterilized to eliminate any harmful microorganisms.","Cerrahi aletler, zararlı mikroorganizmaları yok etmek için sterilize edilir.",2
"disinfect","dezenfekte etmek, mikroplardan temizlemek","v","🦠",0,"sterilize; sanitize; cleanse","Koç havuzu",0,"",,"The solution is used to disinfect surfaces that may carry bacteria.","Çözelti, bakteri taşıyabilecek yüzeyleri dezenfekte etmek için kullanılır.",2
"taint","kirletmek, bulaştırmak, bozmak","v","🏞️",0,"contaminate; pollute; spoil","Koç havuzu",0,"",,"A single impurity can taint the entire batch of the chemical compound.","Tek bir safsızlık, kimyasal bileşiğin tüm partisini bozabilir.",3
"infect","enfekte etmek, bulaştırmak, hastalık bulaştırmak","v","🏞️",0,"contaminate; transmit; spread to","Koç havuzu",0,"",,"The virus can infect healthy cells and force them to produce more copies.","Virüs, sağlıklı hücreleri enfekte edebilir ve onları daha fazla kopya üretmeye zorlayabilir.",1
"invade","istila etmek, yayılmak, girmek","v","🌐",0,"overrun; colonize; penetrate","Koç havuzu",0,"",,"Invasive species can invade a habitat and outcompete the native organisms.","İstilacı türler bir habitatı istila edebilir ve yerli organizmalarla rekabette üstün gelebilir.",1
"colonize","yerleşmek, koloni kurmak, istila etmek","v","🎬",0,"settle; populate; occupy","Koç havuzu",0,"",,"Certain bacteria quickly colonize the surface of the moist rock.","Bazı bakteriler, nemli kayanın yüzeyine hızla yerleşerek koloni kurar.",2
"multiply","çoğalmak, artmak, çarpmak","v","🎬",0,"reproduce; proliferate; increase","Koç havuzu",0,"",,"In warm conditions, bacteria multiply rapidly within a few hours.","Sıcak koşullarda bakteriler, birkaç saat içinde hızla çoğalır.",1
"reproduce","üremek, çoğalmak, kopyasını üretmek","v","🎬",0,"breed; propagate; multiply","Çıkmış sorular; Koç havuzu",1,"2023-1",,"Many plants reproduce by producing seeds that scatter across the ground.","Birçok bitki, yere saçılan tohumlar üreterek çoğalır.",1
"spawn","yumurtlamak, doğurmak, yol açmak","v","🛣️",0,"produce; generate; give rise to","Koç havuzu",0,"",,"Salmon travel upstream to spawn in the rivers where they were born.","Somonlar, doğdukları nehirlerde yumurtlamak için akıntıya karşı yol alır.",2
"hatch","yumurtadan çıkmak, kuluçkadan çıkarmak","v","🎬",0,"emerge; break out; incubate","Çıkmış sorular; Zafer Hoca; Koç havuzu",1,"2023-2",,"The eggs hatch only when the surrounding temperature stays within a narrow range.","Yumurtalar, yalnızca çevredeki sıcaklık dar bir aralıkta kaldığında çatlar.",2
"incubate","kuluçkaya yatmak, geliştirmek, üretmek","v","🪨",0,"nurture; cultivate; develop","Koç havuzu",0,"",,"The cultures are incubated at body temperature to allow the bacteria to grow.","Kültürler, bakterilerin büyümesine izin vermek için vücut sıcaklığında kuluçkaya bırakılır.",2
"exhaust","tüketmek, bitirmek, yormak","v","🏁",0,"deplete; use up; drain","Zafer Hoca; Koç havuzu",0,"",,"If we continue at this rate, we will soon exhaust the planet's fossil fuels.","Bu hızda devam edersek, gezegenin fosil yakıtlarını yakında tüketeceğiz.",1
"apportion","paylaştırmak, bölüştürmek, tahsis etmek","v","🏞️",0,"allocate; distribute; divide","Koç havuzu",0,"",,"The model apportions the available energy among the different trophic levels.","Model, mevcut enerjiyi farklı besin seviyeleri arasında paylaştırır.",3
"deploy","konuşlandırmak, yerleştirmek, kullanıma sunmak","v","☀️",0,"position; install; utilize","Çıkmış sorular; Koç havuzu",2,"2018-1; 2024-2",,"Scientists deploy sensors across the ocean to monitor changes in temperature.","Bilim insanları, sıcaklık değişimlerini izlemek için okyanusa sensörler yerleştirir.",1
"configure","yapılandırmak, ayarlamak, düzenlemek","v","🟫",0,"set up; arrange; adjust","Zafer Hoca; Koç havuzu",0,"",,"The instrument must be configured correctly before the measurements begin.","Cihaz, ölçümler başlamadan önce doğru şekilde yapılandırılmalıdır.",2
"adsorb","yüzeyde tutmak, adsorplamak","v","🎬",0,"absorb onto; attract; collect","Koç havuzu",0,"",,"Activated charcoal can adsorb toxins onto its highly porous surface.","Aktif karbon, toksinleri son derece gözenekli yüzeyinde tutabilir.",3
"assimilate","özümsemek, sindirmek, benimsemek","v","🎬",0,"absorb; incorporate; take in","Koç havuzu",0,"",,"Plants assimilate carbon from the air to build sugars during photosynthesis.","Bitkiler, fotosentez sırasında şeker oluşturmak için havadan karbon özümser.",2
"digest","sindirmek, hazmetmek, parçalamak","v","✂️",0,"break down; absorb; process","Çıkmış sorular; Koç havuzu",1,"2023-1",,"Enzymes in the stomach digest proteins into smaller amino acids.","Mideki enzimler, proteinleri daha küçük amino asitlere sindirir.",1
"metabolize","metabolize etmek, sindirip enerjiye çevirmek","v","⚡",0,"break down; process; burn","Koç havuzu",0,"",,"The liver metabolizes many drugs before they leave the body.","Karaciğer, birçok ilacı vücuttan atılmadan önce metabolize eder.",1
"respire","solunum yapmak, nefes almak","v","💨",0,"breathe; exchange gases; oxidize","Koç havuzu",0,"",,"Cells respire by breaking down glucose to release usable energy.","Hücreler, kullanılabilir enerji açığa çıkarmak için glikozu parçalayarak solunum yapar.",2
"ferment","fermente olmak, mayalanmak","v","🎬",0,"brew; break down; culture","Koç havuzu",0,"",,"Yeast ferments sugar and produces alcohol and carbon dioxide.","Maya, şekeri fermente eder ve alkol ile karbondioksit üretir.",2
"combust","yanmak, tutuşmak, yakmak","v","🔥",0,"burn; ignite; oxidize","Koç havuzu",0,"",,"When fuel combusts, it releases heat and forms carbon dioxide and water.","Yakıt yandığında ısı açığa çıkarır ve karbondioksit ile su oluşturur.",2
"incinerate","yakmak, yakarak yok etmek","v","💥",0,"burn; combust; consume by fire","Koç havuzu",0,"",,"Some facilities incinerate hazardous waste to reduce its volume.","Bazı tesisler, hacmini azaltmak için tehlikeli atıkları yakar.",3
"detonate","patlatmak, infilak ettirmek","v","🎬",0,"explode; blow up; set off","Koç havuzu",0,"",,"A small spark is enough to detonate the highly reactive gas mixture.","Küçük bir kıvılcım, oldukça reaktif gaz karışımını patlatmaya yeter.",3
"explode","patlamak, infilak etmek","v","🎬",0,"burst; detonate; blow up","Çıkmış sorular; Koç havuzu",1,"2024-2",,"The pressure inside the container rose until it finally exploded.","Kabın içindeki basınç, sonunda patlayana kadar yükseldi.",1
"rupture","yırtılmak, patlamak, delinmek","v","🎬",0,"burst; tear; split","Koç havuzu",0,"",,"If the cell absorbs too much water, its membrane may rupture.","Hücre çok fazla su emerse, zarı yırtılabilir.",2
"fracture","kırılmak, çatlamak, kırmak","v","🏞️",0,"crack; break; shatter","Koç havuzu",0,"",,"Under sudden stress, the brittle material fractures instead of bending.","Ani gerilim altında kırılgan malzeme, bükülmek yerine kırılır.",2
"shatter","paramparça olmak, kırılıp dağılmak","v","⛰️",0,"smash; break; fracture","Koç havuzu",0,"",,"The glass container will shatter if it is cooled too rapidly.","Cam kap, çok hızlı soğutulursa paramparça olur.",2
"crumble","ufalanmak, dağılmak, parçalanmak","v","⛰️",0,"disintegrate; break up; fragment","Zafer Hoca; Koç havuzu",0,"",,"Over centuries, exposed rock begins to crumble under the action of frost.","Yüzyıllar boyunca açıkta kalan kaya, donun etkisiyle ufalanmaya başlar.",3
"abrade","aşındırmak, sürterek yıpratmak","v","🏞️",0,"wear away; erode; scrape","Koç havuzu",0,"",,"Windblown sand gradually abrades the surface of the desert rocks.","Rüzgarla taşınan kum, çöl kayalarının yüzeyini yavaş yavaş aşındırır.",3
"deform","biçimini bozmak, şeklini değiştirmek","v","🔄",0,"distort; warp; bend","Çıkmış sorular; Koç havuzu",1,"2024-2",,"Excessive force can deform the metal beam beyond its elastic limit.","Aşırı kuvvet, metal kirişi esneklik sınırının ötesinde deforme edebilir.",2
"warp","eğrilmek, çarpılmak, biçim bozmak","v","🎬",0,"bend; distort; twist","Zafer Hoca; Koç havuzu",0,"",,"Wooden panels may warp when they absorb moisture from the air.","Ahşap paneller, havadaki nemi emdiğinde çarpılabilir.",3
"compress","sıkıştırmak, bastırmak","v","❄️",0,"squeeze; condense; press","Zafer Hoca; Koç havuzu",0,"",,"The pump compresses the gas until its volume is greatly reduced.","Pompa, hacmi büyük ölçüde azalana kadar gazı sıkıştırır.",1
"dilate","genişlemek, açılmak, genişletmek","v","📈",0,"widen; expand; enlarge","Çıkmış sorular; Koç havuzu",1,"2024-2",,"Blood vessels dilate to release excess heat from the body.","Kan damarları, vücuttan fazla ısıyı atmak için genişler.",1
"constrict","daralmak, büzülmek, sıkıştırmak","v","❄️",0,"narrow; contract; tighten","Çıkmış sorular; Koç havuzu",1,"2025-1",,"In cold weather, the blood vessels near the skin constrict to conserve heat.","Soğuk havada, cilde yakın kan damarları ısıyı korumak için daralır.",2
"swell","şişmek, kabarmak, büyümek","v","📈",0,"expand; enlarge; inflate","Çıkmış sorular; Koç havuzu",1,"2024-2",,"The plant cells swell as they absorb water through their membranes.","Bitki hücreleri, zarları aracılığıyla su emdikçe şişer.",2
"deflate","havasını indirmek, söndürmek","v","💨",0,"collapse; empty; shrink","Koç havuzu",0,"",,"The lung may deflate if air escapes into the surrounding cavity.","Hava çevredeki boşluğa kaçarsa akciğer sönebilir.",2
"elongate","uzatmak, uzamak","v","🎬",0,"lengthen; extend; stretch","Koç havuzu",0,"",,"The root cells elongate to push the growing tip deeper into the soil.","Kök hücreleri, büyüyen ucu toprağın daha derinine itmek için uzar.",2
"widen","genişlemek, genişletmek","v","📈",0,"broaden; expand; enlarge","Çıkmış sorular; Koç havuzu",1,"2023-1",,"The river widens considerably as it approaches the flat coastal plain.","Nehir, düz kıyı ovasına yaklaştıkça belirgin şekilde genişler.",2
"taper","gitgide incelmek, sivrilmek, azalmak","v","📉",0,"narrow; thin; diminish","Koç havuzu",0,"",,"The blood vessels taper as they branch into smaller and smaller capillaries.","Kan damarları, gitgide daha küçük kılcal damarlara ayrıldıkça incelir.",3
"converge","yakınsamak, bir noktada birleşmek","v","🥣",0,"meet; come together; merge","Koç havuzu",0,"",,"The light rays converge at a single point after passing through the lens.","Işık ışınları, mercekten geçtikten sonra tek bir noktada birleşir.",1
"intersect","kesişmek, çaprazlamak","v","🎬",0,"cross; meet; overlap","Koç havuzu",0,"",,"The two curves intersect at the point where the reaction reaches equilibrium.","İki eğri, reaksiyonun dengeye ulaştığı noktada kesişir.",2
"overlap","örtüşmek, üst üste binmek, çakışmak","v","🎬",0,"coincide; intersect; cover","Koç havuzu",0,"",,"The ranges of the two species overlap along the coastal region.","İki türün yaşam alanları, kıyı bölgesi boyunca örtüşür.",1
"orient","yönlendirmek, konumlandırmak, yönelmek","v","🏞️",0,"direct; position; align","Koç havuzu",0,"",,"Migratory birds orient themselves using the Earth's magnetic field.","Göçmen kuşlar, Dünya'nın manyetik alanını kullanarak kendilerini yönlendirir.",1
"calibrate","kalibre etmek, ayarlamak","v","🎬",0,"adjust; fine-tune; standardize","Koç havuzu",0,"",,"The scale must be calibrated regularly to ensure accurate measurements.","Terazi, doğru ölçümler sağlamak için düzenli olarak kalibre edilmelidir.",1
"tabulate","tablo haline getirmek, çizelgelemek","v","🎬",0,"list; arrange; chart","Koç havuzu",0,"",,"The results are tabulated so that the trends become easier to interpret.","Sonuçlar, eğilimlerin yorumlanması kolaylaşsın diye tablo haline getirilir.",2
"extrapolate","dışdeğer hesaplamak, öngörmek, çıkarımlamak","v","❄️",0,"project; infer; predict","Koç havuzu",0,"",,"From current trends, scientists extrapolate future levels of carbon dioxide.","Mevcut eğilimlerden yola çıkarak bilim insanları, gelecekteki karbondioksit seviyelerini öngörür.",2
"interpolate","ara değer bulmak, aradeğerleme yapmak","v","🔍",0,"insert; estimate; fill in","Koç havuzu",0,"",,"We interpolate between the measured points to estimate the missing values.","Eksik değerleri tahmin etmek için ölçülen noktalar arasında ara değer buluruz.",3
"accrue","birikmek, tahakkuk etmek, artmak","v","🧺",0,"accumulate; build up; gather","Koç havuzu",0,"",,"Small errors accrue over many calculations and distort the final result.","Küçük hatalar, birçok hesaplama boyunca birikir ve nihai sonucu bozar.",3
"collate","karşılaştırıp derlemek, bir araya getirmek","v","❄️",0,"compile; gather; assemble","Koç havuzu",0,"",,"The team collated data from several stations to build a complete picture.","Ekip, eksiksiz bir tablo oluşturmak için birkaç istasyondan gelen verileri derledi.",3
"deviate","sapmak, ayrılmak, farklılaşmak","v","🔀",0,"diverge; differ; stray","Koç havuzu",0,"",,"When the readings deviate from the expected value, an error is suspected.","Okumalar beklenen değerden saptığında, bir hata olduğundan şüphelenilir.",2
"oscillate","salınım yapmak, gidip gelmek, dalgalanmak","v","🔊",0,"fluctuate; swing; vibrate","Koç havuzu",0,"",,"A pendulum oscillates back and forth with a constant period.","Bir sarkaç, sabit bir periyotla ileri geri salınım yapar.",2
"vibrate","titreşmek, titremek","v","🔊",0,"oscillate; quiver; shake","Çıkmış sorular; Koç havuzu",1,"2025-1",,"Sound is produced when an object vibrates and disturbs the surrounding air.","Bir nesne titreşip çevresindeki havayı hareket ettirdiğinde ses üretilir.",2
"rotate","dönmek, döndürmek, kendi ekseninde dönmek","v","🎬",0,"spin; turn; revolve","Çıkmış sorular; Koç havuzu",1,"2022-1",,"The Earth rotates on its axis once approximately every twenty-four hours.","Dünya, kendi ekseni etrafında yaklaşık her yirmi dört saatte bir döner.",1
"revolve","yörüngede dönmek, etrafında dönmek","v","🌌",0,"orbit; circle; rotate","Koç havuzu",0,"",,"The planets revolve around the Sun along elliptical orbits.","Gezegenler, eliptik yörüngeler boyunca Güneş'in etrafında döner.",2
"thrust","itmek, saplamak, ileri itmek","v","🎬",0,"push; shove; force","Koç havuzu",0,"",,"Colliding plates thrust one section of the crust above another.","Çarpışan levhalar, kabuğun bir bölümünü diğerinin üzerine iter.",3
"decelerate","yavaşlamak, hızını azaltmak","v","📉",0,"slow down; brake; reduce speed","Koç havuzu",0,"",,"The probe must decelerate rapidly before it enters the planet's atmosphere.","Sonda, gezegenin atmosferine girmeden önce hızla yavaşlamalıdır.",2
"hover","havada asılı durmak, süzülmek","v","💨",0,"float; hang; levitate","Koç havuzu",0,"",,"A hummingbird can hover in the air by beating its wings extremely fast.","Bir sinek kuşu, kanatlarını son derece hızlı çırparak havada asılı durabilir.",3
"submerge","batırmak, suya daldırmak, su altında kalmak","v","💧",0,"immerse; flood; sink","Zafer Hoca; Koç havuzu",0,"",,"Rising sea levels could submerge low-lying coastal cities.","Yükselen deniz seviyeleri, alçak kıyı kentlerini sular altında bırakabilir.",2
"relay","iletmek, aktarmak, nakletmek","v","🎬",0,"transmit; pass on; convey","Koç havuzu",0,"",,"The satellite relays signals between distant stations on the ground.","Uydu, yerdeki uzak istasyonlar arasında sinyalleri iletir.",3
"channel","yönlendirmek, kanalize etmek, iletmek","v","🚧",0,"direct; guide; funnel","Koç havuzu",0,"",,"The plant channels most of its energy into producing seeds.","Bitki, enerjisinin çoğunu tohum üretimine yönlendirir.",2
"divert","yönünü değiştirmek, saptırmak, başka yöne çevirmek","v","🏞️",0,"redirect; reroute; deflect","Koç havuzu",0,"",,"Engineers built a canal to divert water away from the flooded fields.","Mühendisler, suyu su basmış tarlalardan uzaklaştırmak için bir kanal inşa etti.",1
"deflect","saptırmak, yön değiştirtmek","v","🏞️",0,"divert; turn aside; bounce off","Koç havuzu",0,"",,"The magnetic field deflects charged particles away from the planet's surface.","Manyetik alan, yüklü parçacıkları gezegenin yüzeyinden uzağa saptırır.",2
"attract","çekmek, cezbetmek","v","🎬",0,"draw; pull; lure","Çıkmış sorular; Koç havuzu",1,"2023-2",,"A positively charged rod will attract nearby negatively charged particles.","Pozitif yüklü bir çubuk, yakındaki negatif yüklü parçacıkları çeker.",1
"bind","bağlamak, birleştirmek, tutunmak","v","🔗",0,"attach; join; bond","Koç havuzu",0,"",,"The enzyme binds to its substrate to speed up the reaction.","Enzim, reaksiyonu hızlandırmak için substratına bağlanır.",1
"bond","bağ kurmak, birleşmek, kaynaşmak","v","🥣",0,"join; combine; link","Koç havuzu",0,"",,"Two hydrogen atoms bond with one oxygen atom to form a water molecule.","İki hidrojen atomu, bir su molekülü oluşturmak için bir oksijen atomuyla bağ kurar.",1
"attach","iliştirmek, bağlamak, tutturmak","v","🔗",0,"fasten; connect; affix","Çıkmış sorular; Koç havuzu",1,"2022-1",,"The virus attaches to a receptor on the surface of the host cell.","Virüs, konak hücrenin yüzeyindeki bir reseptöre tutunur.",1
"detach","ayırmak, koparmak, sökmek","v","🌙",0,"separate; disconnect; remove","Koç havuzu",0,"",,"The cell can detach from the tissue and travel through the bloodstream.","Hücre, dokudan ayrılabilir ve kan dolaşımı boyunca hareket edebilir.",2
"fasten","sıkıca bağlamak, tutturmak, sabitlemek","v","🏃",0,"attach; secure; fix","Koç havuzu",0,"",,"Roots fasten the plant firmly to the soil and prevent erosion.","Kökler, bitkiyi toprağa sıkıca tutturur ve erozyonu önler.",2
"tether","bağlamak, iple bağlamak, sabitlemek","v","🔗",0,"tie; fasten; secure","Koç havuzu",0,"",,"The instrument is tethered to the buoy so that it does not drift away.","Cihaz, sürüklenip gitmemesi için şamandıraya bağlanmıştır.",3
"secrete","salgılamak","v","🎬",0,"release; discharge; emit","Çıkmış sorular; Koç havuzu",1,"2023-1",,"Certain glands secrete hormones that regulate the body's metabolism.","Bazı bezler, vücudun metabolizmasını düzenleyen hormonlar salgılar.",1
"excrete","boşaltmak, atmak, dışarı vermek","v","⭕",0,"expel; eliminate; discharge","Koç havuzu",0,"",,"The kidneys excrete waste products from the blood as urine.","Böbrekler, kandaki atık ürünleri idrar olarak dışarı atar.",2
"eject","fırlatmak, dışarı atmak, çıkarmak","v","🎬",0,"expel; discharge; throw out","Koç havuzu",0,"",,"A dying star may eject its outer layers into surrounding space.","Ölmekte olan bir yıldız, dış katmanlarını çevredeki uzaya fırlatabilir.",3
"exhale","nefes vermek, soluğu dışarı vermek","v","💨",0,"breathe out; expel; emit","Çıkmış sorular; Koç havuzu",1,"2025-1",,"When we exhale, the air we release is rich in carbon dioxide.","Nefes verdiğimizde, saldığımız hava karbondioksit açısından zengindir.",1
"inhale","nefes almak, soluğu içeri çekmek","v","💨",0,"breathe in; take in; draw in","Çıkmış sorular; Koç havuzu",1,"2025-1",,"As we inhale, oxygen passes from the lungs into the bloodstream.","Nefes aldığımızda oksijen, akciğerlerden kan dolaşımına geçer.",1
"encode","kodlamak, şifrelemek, bilgi taşımak","v","🪨",0,"code; encrypt; represent","Koç havuzu",0,"",,"A single gene can encode the instructions for building one specific protein.","Tek bir gen, belirli bir proteinin yapımına ilişkin talimatları kodlayabilir.",1
"decode","çözmek, deşifre etmek, kodunu çözmek","v","💻",0,"decipher; interpret; translate","Koç havuzu",0,"",,"The ribosome decodes the genetic message to assemble a chain of amino acids.","Ribozom, bir amino asit zinciri oluşturmak için genetik mesajın kodunu çözer.",1
"amplify","yükseltmek, güçlendirmek, büyütmek","v","⚡",0,"strengthen; boost; magnify","Koç havuzu",0,"",,"The device amplifies the weak signal so that it can be measured accurately.","Cihaz, doğru bir şekilde ölçülebilmesi için zayıf sinyali yükseltir.",1
"dampen","zayıflatmak, sönümlemek, hafifletmek","v","🥀",0,"reduce; muffle; weaken","Koç havuzu",0,"",,"The material is used to dampen the vibrations produced by the engine.","Malzeme, motorun ürettiği titreşimleri sönümlemek için kullanılır.",2
"suppress","baskılamak, bastırmak, engellemek","v","🏞️",0,"inhibit; restrain; curb","Zafer Hoca; Koç havuzu",0,"",,"The drug suppresses the immune response to prevent organ rejection.","İlaç, organ reddini önlemek için bağışıklık tepkisini baskılar.",1
"provoke","tetiklemek, kışkırtmak, yol açmak","v","❄️",0,"trigger; induce; elicit","Koç havuzu",0,"",,"Exposure to the allergen can provoke a severe reaction in sensitive people.","Alerjene maruz kalmak, hassas kişilerde şiddetli bir tepkiyi tetikleyebilir.",1
"elicit","ortaya çıkarmak, uyandırmak, (tepki) almak","v","🏞️",0,"evoke; draw out; provoke","Koç havuzu",0,"",,"A mild electric current is used to elicit a response from the nerve cell.","Sinir hücresinden bir tepki almak için hafif bir elektrik akımı kullanılır.",2
"break away","kopmak, ayrılmak, uzaklaşmak","phrasal","🔀",0,"detach; separate; split off","Koç havuzu",0,"",,"A large chunk of ice can break away from the glacier and float out to sea.","Büyük bir buz parçası, buzuldan kopup denize doğru sürüklenebilir.",1
"bring on","yol açmak, neden olmak, tetiklemek","phrasal","🛣️",0,"cause; trigger; induce","Koç havuzu",0,"",,"Sudden changes in pressure can bring on symptoms in sensitive patients.","Basınçtaki ani değişiklikler, hassas hastalarda belirtilere yol açabilir.",2
"build on","üzerine kurmak, geliştirmek, temel almak","phrasal","🏗️",0,"develop; expand on; extend","Koç havuzu",0,"",,"The new study builds on earlier work about the structure of the atom.","Yeni çalışma, atomun yapısıyla ilgili daha önceki çalışmaları temel alarak geliştirilmiştir.",2
"carry through","tamamlamak, sonuna kadar götürmek, gerçekleştirmek","phrasal","✔️",0,"complete; accomplish; fulfil","Koç havuzu",0,"",,"The team carried through the experiment despite several technical setbacks.","Ekip, birkaç teknik aksaklığa rağmen deneyi sonuna kadar götürdü.",3
"close off","kapatmak, izole etmek, engellemek","phrasal","🚧",0,"seal; block; shut off","Koç havuzu",0,"",,"A valve can close off the pipe to stop the flow of gas.","Bir vana, gaz akışını durdurmak için boruyu kapatabilir.",2
"come apart","parçalanmak, dağılmak, ayrılmak","phrasal","⛰️",0,"break up; disintegrate; fall apart","Koç havuzu",0,"",,"Under repeated stress, the material may eventually come apart.","Tekrarlanan gerilim altında malzeme sonunda parçalanabilir.",2
"crop up","ortaya çıkmak, beliriverme, baş göstermek","phrasal","🌾",0,"arise; appear; emerge","Koç havuzu",0,"",,"Unexpected errors often crop up when a new method is first tested.","Yeni bir yöntem ilk kez test edildiğinde beklenmedik hatalar sıklıkla ortaya çıkar.",2
"cut off","kesmek, ayırmak, bağlantısını koparmak","phrasal","🌙",0,"stop; isolate; disconnect","Koç havuzu",0,"",,"The dam cut off the natural flow of sediment to the river delta.","Baraj, tortunun nehir deltasına doğal akışını kesti.",1
"die off","toplu ölmek, azalarak yok olmak","phrasal","💀",0,"perish; decline; vanish","Koç havuzu",0,"",,"Many coral species die off when the water becomes too warm.","Su çok ısındığında birçok mercan türü toplu halde ölür.",2
"draw out","çekip çıkarmak, uzatmak, elde etmek","phrasal","🔗",0,"extract; remove; extend","Koç havuzu",0,"",,"The syringe is used to draw out a small sample of fluid for testing.","Şırınga, test için küçük bir sıvı örneği çekip çıkarmak amacıyla kullanılır.",3
"dry out","kurumak, kurutmak, suyunu kaybetmek","phrasal","❌",0,"dehydrate; parch; desiccate","Koç havuzu",0,"",,"If the soil dries out completely, the seeds will fail to germinate.","Toprak tamamen kuruyacak olursa tohumlar çimlenemeyecektir.",2
"dry up","kurumak, tükenmek, suyu çekilmek","phrasal","🔗",0,"evaporate; run dry; disappear","Koç havuzu",0,"",,"During a prolonged drought, many small rivers dry up completely.","Uzun süren bir kuraklık sırasında birçok küçük nehir tamamen kurur.",2
"even out","eşitlenmek, dengelenmek, düzleşmek","phrasal","⚖️",0,"balance; level; equalize","Koç havuzu",0,"",,"The temperature differences even out as the two liquids mix together.","İki sıvı birbirine karıştıkça sıcaklık farkları dengelenir.",2
"fall off","azalmak, düşmek, gerilemek","phrasal","📉",0,"decline; decrease; diminish","Koç havuzu",0,"",,"The reaction rate falls off sharply as the temperature drops.","Reaksiyon hızı, sıcaklık düştükçe keskin bir şekilde azalır.",1
"fall back on","başvurmak, geri dönmek, güvenmek","phrasal","🪂",0,"resort to; rely on; turn to","Koç havuzu",0,"",,"When the main power fails, the system falls back on a backup generator.","Ana güç kesildiğinde sistem, yedek bir jeneratöre başvurur.",3
"feed on","ile beslenmek, yemek","phrasal","🍎",0,"consume; eat; live on","Çıkmış sorular; Koç havuzu",3,"2022-1; 2022-2; 2023-1",,"These bacteria feed on the organic matter found in the sediment.","Bu bakteriler, tortuda bulunan organik maddeyle beslenir.",2
"fend off","savuşturmak, defetmek, uzak tutmak","phrasal","🔗",0,"repel; ward off; resist","Koç havuzu",0,"",,"The immune system fends off invading bacteria and viruses.","Bağışıklık sistemi, istilacı bakteri ve virüsleri savuşturur.",1
"fill in","doldurmak, tamamlamak, eksiği gidermek","phrasal","🔗",0,"complete; supply; insert","Koç havuzu",0,"",,"Researchers fill in the missing data using careful estimates.","Araştırmacılar, eksik verileri dikkatli tahminler kullanarak doldurur.",2
"flare up","alevlenmek, şiddetlenmek, nüksetmek","phrasal","🔥",0,"intensify; worsen; erupt","Zafer Hoca; Koç havuzu",0,"",,"The infection may flare up again if the treatment is stopped too early.","Tedavi çok erken durdurulursa enfeksiyon yeniden alevlenebilir.",2
"flow into","içine akmak, dökülmek, boşalmak","phrasal","⭕",0,"empty into; run into; drain into","Çıkmış sorular; Koç havuzu",1,"2025-2",,"Several rivers flow into the lake and keep its water level stable.","Birkaç nehir göle akar ve su seviyesini sabit tutar.",1
"hinge on","bağlı olmak, dayanmak, -e bağlı olmak","phrasal","🔗",0,"depend on; rely on; rest on","Koç havuzu",0,"",,"The success of the experiment hinges on maintaining a constant temperature.","Deneyin başarısı, sabit bir sıcaklığın korunmasına bağlıdır.",3
"hold together","bir arada tutmak, dağılmasını önlemek","phrasal","⛰️",0,"bind; unite; keep intact","Koç havuzu",0,"",,"Strong chemical bonds hold the crystal structure together.","Güçlü kimyasal bağlar, kristal yapısını bir arada tutar.",2
"keep out","dışarıda tutmak, engellemek, girmesini önlemek","phrasal","🐝",0,"exclude; block; bar","Koç havuzu",0,"",,"The ozone layer helps keep out harmful ultraviolet radiation.","Ozon tabakası, zararlı morötesi radyasyonu dışarıda tutmaya yardımcı olur.",2
"level off","sabitlenmek, dengelenmek, durulmak","phrasal","⚖️",0,"stabilize; plateau; even out","Koç havuzu",0,"",,"The population grows quickly at first and then levels off as resources run low.","Nüfus önce hızla artar, sonra kaynaklar azaldıkça sabitlenir.",1
