ID,WordName,VocabularyItem,TurkishDefinition,Synonym,ExampleSentence1,Translation1,GrupNo,Antonym,PartofSpeech,Favorite
590,RESULT from (v),RESULT from (v),-den kaynaklanmak,"Arise from, stem from, derive from",The dust particles in space probably result from collisions among asteroids.,"Uzaydaki toz parçacıkları, muhtemelen asteroitler arasındaki çarpışmalardan kaynaklanmaktadır",30,-,-,0
591,RETREAT (n),RETREAT (n),Geri çekilme,Withdrawal,The retreat hints at the wider challenges Wyoming faces as the climate warms.,"İklim ısındıkça, geri çekilme, Wyoming'in karşı karşıya bulunduğu daha geniş sorunlara işaret ediyor.",30,-,-,0
592,SHORT-TERM (adj),SHORT-TERM (adj),"Kısa vadeli, geçici","Temporary, interim","The team used multiple methodologies to estimate the actual warming due to greenhouse gases, independent of short-term climate variability.","Ekip, kısa vadeli iklim değişkenliğinden bağımsız olarak sera gazlarından kaynaklanan gerçek ısınmayı tahmin etmek için çok sayıda metodoloji kullandı.",30,-,-,0
593,STEEL (n),STEEL (n),Çelik,Strong alloy of iron and carbon,The first of the great steel arch bridges was designed by James Eads.,Büyük çelik kemer köprülerden birincisi James Eads tarafından tasarlandı.,30,-,-,0
594,SUBSEQUENT (adj),SUBSEQUENT (adj),"Ardından gelen, daha sonraki","Following, succeeding",Climate change will become more serious problem in subsequent years.,Daha sonraki yıllarda iklim değişikliği daha ciddi bir sorun haline gelecektir.,30,-,-,0
595,SUITABLE (adj),SUITABLE (adj),"Münasip, uygun, doğru","Correct, reasonable, appropriate",Fish are cold-blooded creatures and need suitable surroundings.,Balıklar soğukkanlı yaratıklardır ve uygun çevrelere ihtiyaç duyarlar.,30,-,-,0
596,SUPERIORITY (n),SUPERIORITY (n),"Üstünlük, büyüklük, hakimiyet","Supremacy, advantage, dominance",Humans may lose their superiority over superintelligent robots in the future.,İnsanlar gelecekte süper akıllı robotlar üzerinde üstünlüklerini kaybedebilir.,30,-,-,0
597,TRANSMIT (v),TRANSMIT (v),"İletmek, bulaştırmak","Transfer, pass on, communicate",HIV is easily transmitted during medical or surgical procedures.,"HIV, tıbbi veya cerrahi işlemler sırasında kolayca bulaştırılır",30,-,-,0
598,ULTIMATELY (adv),ULTIMATELY (adv),"Nihayetinde, en sonunda","Finally, eventually",Ultimately we should be sending people to Mars because they can do things that robots cannot do.,Robotların yapamadıklarını yapabildikleri için insanları nihayetinde Mars'a gönderiyor olmalıyız.,30,-,-,0
599,VEGETATION (n),VEGETATION (n),"Bitki örtüsü, bitkiler","Plants, plant life, flora",Much of the vegetation on land is similar to that found in the water.,Karadaki bitki örtüsünün büyük kısmı suda bulunan bitki örtüsü ile benzerdir.,30,-,-,0
600,VINDICATION (n),VINDICATION (n),"Doğrulama, teyit, kanıt","Justification, proof, verification",She summarized experimental vindications of Newton's theories,Newton teorilerinin deneysel kanıtlarını özetledi.,30,-,-,0
601,DATE back to (v),DATE back to (v),"-e tarihine dayanmak, -e kadar uzanmak",Go back,Attempts to understand scientific base of the many legends of global catastrophes date back to the dawn of modern science itself.,"Küresel felaketlerin pek çok efsanesinin bilimsel dayanağını anlama çabaları, modern bilimin kendisinin doğuşuna kadar uzanıyor.",31,-,-,0
602,DELIBERATELY (adv),DELIBERATELY (adv),"Kasıtlı olarak, bilerek","On purpose, intentionally",The H. naledi remains may have deliberately been buried inside the cave.,H. naledi kalıntıları mağaranın içine kasıtlı olarak gömülmüş olabilir.,31,-,-,0
603,DIVERSITY (n),DIVERSITY (n),Çeşitlilik," Variety, assortment, miscellany",Australia's Great Barrier Reef accommodates an astonishing diversity of life.,Avustralya'nın Büyük Bariyer Resifi şaşırtıcı bir yaşam çeşitliliğini barındırır.,31,-,-,0
604,DRASTICALLY (adv),DRASTICALLY (adv),"Önemli ölçüde, çarpıcı biçimde","Considerably, significantly, substantially",Recent attempts have decreased greenhouse gases drastically.,Yakın zamandaki girişimler sera gazlarını önemli ölçüde azalttı.,31,-,-,0
605,EMINENT (adj),EMINENT (adj),"Tanınmış, seçkin","Well-known, renowned, distinguished, famous, celebrated, prominent",The principles of calculus were discovered by two eminent scientists.,Dengenin prensipleri iki seçkin bilim adamı tarafından keşfedildi.,31,-,-,0
606,FAILURE (n),FAILURE (n),"Bozukluk, arıza","Breakdown, malfunction",Multi-engined aircraft are designed to keep flying in the event of 'engine' failure.,"Çok motorlu uçaklar ""motor"" arızası durumunda uçmayı sürdürmek için tasarlanmıştır",31,-,-,0
607,FAMINE (n),FAMINE (n),"Kıtlık, yokluk","Food shortage, scarcity",The United Nations Security Council was warned of imminent risk of famine.,Birleşmiş Milletler Güvenlik Konseyi yaklaşan kıtlık riski konusunda uyarıldı.,31,-,-,0
608,INFRASTRUCTURE (n),INFRASTRUCTURE (n),Altyapı,"The large-scale public systems, substructure","Natural gas, which became widely common with the building of a pipeline infrastructure after World War II, had developed into the leading fuel by 1960.",İkinci Dünya Savaşı'ndan sonra boru hattı altyapısı inşası ile oldukça yaygınlaşan doğal gaz 1960'a kadar lider yakıt haline geldi.,31,-,-,0
609,INSPIRATION (n),INSPIRATION (n),"İlham, esin",Revelation,The history of science is often told as stories of individual brilliant minds and flashes of inspiration,Bilim tarihi genellikle bireysel parlak zihinlerin hikayeleri ve ilham gelmesi olarak anlatılır.,31,-,-,0
610,INTERVAL (n),INTERVAL (n),"Ara, aralık","Break, gap",There isn't any evidence that asteroid impacts occur at regular intervals.,Asteroit etkilerin düzenli aralıklarla oluştuğuna dair herhangi bir kanıt yoktur.,31,-,-,0
611,LATITUDE (n),LATITUDE (n),Enlem,Imaginary line around the Earth,Coniferous trees are a dominant tree species in the northern latitudes.,Kozalaklı ağaçlar kuzey enlemlerinde egemen bir ağaç türüdür,31,-,-,0
612,OCCUPY (v),OCCUPY (v)," İşgal etmek, zapt etmek, kaplamak","Take up, fill, cover",Rain forests occupy a very small percentage of Earth.,"Yağmur ormanları, Dünya'nın çok küçük bir yüzdesini kaplar.",31,-,-,0
613,POTABLE (adj),POTABLE (adj),İçilebilir,Drinkable,Residents were advised to stockpile food and potable water.,Çevre sakinlerinin yiyecek ve içilebilir su stoklamaları tavsiye edildi.,31,-,-,0
614,RESOLUTION (n),RESOLUTION (n),Çözünürlük,Reproduction of detail in an image,The Electron Microscope has a great resolution,Elektron Mikroskopu mükemmel bir çözünürlüğe sahiptir.,31,-,-,0
615,SALINITY (n),SALINITY (n), Tuzluluk,The concentration of dissolved salts in water,Tidal action increases the salinity during the dry season.,"Gelgit hareketi, kurak mevsim boyunca tuzluluğu arttırır.",31,-,-,0
616,SEPARATE (adj),SEPARATE (adj),"Ayrı, bağımsız","Unconnected, individual, independent","In the 19th century, scientists started to keep physics and chemistry separate.",19. yüzyılda bilim adamları fizik ve kimyayı ayrı tutmaya başladılar.,31,-,-,0
617,STICK to (v),STICK to (v),"Sadık kalmak, bağlı kalmak","Adhere to,follow, obey, abide by",Germany decided to stick to its plans for 'the age of renewable energy'.,"Almanya, ""yenilenebilir enerji çağında"" planlarına bağlı kalmaya karar verdi.",31,-,-,0
618,VELOCITY (n),VELOCITY (n),"Hız, sürat","Speed, rate","The vast majority of exoplanets use what is called ""the radial-velocity method"".","Dış gezegenlerin büyük çoğunluğu ""radyal hız methodu"" denen şeyi kullanır.",31,-,-,0
619,VESSEL (n),VESSEL (n),Damar,A duct or canal holding or conveying blood or other fluid,High blood pressure can damage blood vessels.,"Yüksek tansiyon, kan damarlarına zarar verebilir",31,-,-,0
620,WEAKEN (v),WEAKEN (v),"Zayıflatmak, zayıf düşürmek","Decline, undermine, impoverish",Rain weakens electromagnetic signals.,Yağmur elektromanyetik sinyalleri zayıflatır.,31,-,-,0
621,ANNIHILATE (v),ANNIHILATE (v),"Ortadan kaldırmak, yok etmek, imha etmek","Wipe out, destroy, eradicate, exterminate",Nobody knows what really annihilated dinosaurs.,Gerçekten dinazorları neyin yok ettiğini kimse bilmiyor.,32,-,-,0
622,AROUSE (v),AROUSE (v),"Uyandırmak, canlandırmak","Awaken, stimulate, entice",New housework robot has not aroused much interest among the public.,Yeni ev işi robotu halk arasında çok fazla ilgi uyandırmadı.,32,-,-,0
623,ATTAIN (v),ATTAIN (v),"Elde etmek, ulaşmak","Accomplish, achieve, reach",Some programs have attained better performance levels than humans.,Bazı programlar insanlardan daha iyi performans seviyelerine ulaşmıştır.,32,-,-,0
624,COLLABORATIVE (adj),COLLABORATIVE (adj),"Ortak çalışmaya dayalı, işbirlikçi","Cooperative, concerted, collective",Some inventions are the result of a collaborative work of scientists.,"Bazı buluşlar, bilim insanlarının işbirlikçi bir çalışmasının sonucudur.",32,-,-,0
625,COMPELLING (adj),COMPELLING (adj),"Çok güçlü, etkili, ikna edici","Forceful, strong, convincing, persuasive",The research team had a very compelling reason for doing so.,Araştırma ekibinin bunu yapmak için çok ikna edici/güçlü bir nedeni vardı.,32,-,-,0
626,COMPLY with (v),COMPLY with (v),Uymak,"Abide by, conform to",Industrial countries have to comply with the Clean Air Act.,Endüstriyel ülkeler Temiz Hava Antlaşmasına uymak zorundadırlar.,32,-,-,0
627,CULMINATION (n),CULMINATION (n),"Bitiş, sonuç, doruk, zirve","Conclusion, finale, zenith, result, climax",Shara's discovery is the culmination of a decades-old search.,Shara'nın keşfi on yıllar süren bir araştırmanın sonucudur.,32,-,-,0
628,DISCREPANCY (n),DISCREPANCY (n),"Tutarsızlık, farklılık, uyuşmazlık","Inconsistency, difference, disagreement",There are many potential reasons for these demographic discrepancies.,Bu demografik tutarsızlıkların pek çok potansiyel nedeni vardır.,32,-,-,0
629,ERUPTION (n),ERUPTION (n),"Püskürme, patlama","Outbreak, flare-up, outburst, explosion",Enormous eruptions of basaltic lava occurred 4.5 billion years ago.,"Bazaltik lavın devasa patlamaları 4,5 milyar yıl önce meydana geldi.",32,-,-,0
630,EXTINCT (adj),EXTINCT (adj),"Soyu tükenmiş, bitmiş","Vanished, died out",Dinosaurs may have become extinct due to a meteor strike.,"Dinozorların, bir göktaşı çarpması yüzünden nesli tükenmiş olabilir.",32,-,-,0
631,METEORITE (n),METEORITE (n),Göktaşı,Rock from outer space,ALH84001 is one of several meteorites that are acknowledged to have come from Mars.,"ALH84001, Mars'tan geldiği kabul edilen birkaç göktaşından biridir.",32,-,-,0
632,MYSTERIOUS (adj),MYSTERIOUS (adj),"Gizemli, esrarengiz, anlaşılmaz","Strange, unexplained, inexplicable",Dark matter is the mysterious material that makes up 22 per cent of the stuff in the universe.,"Karanlık madde, evrendeki şeylerin yüzde 22'sini oluşturan gizemli maddedir.",32,-,-,0
633,REALM (n),REALM (n),"Alan, saha, bölge",Little depth,The Ordovician faunas represent both the Midcontinent and Atlantic faunal realms.,Ordovisiyen faunalar hem Orta Kıta hem de Atlantik faunal alanları temsil eder.,32,-,-,0
634,RELIEF (n),RELIEF (n),"Rahatlama, teselli, giderme","Reassurance, comfort",Actions are the simplest behavior done in anticipation of relief.,Eylemler rahatlama beklentisiyle yapılan en basit davranışlardır.,32,-,-,0
635,RESOLVE (v),RESOLVE (v),"Çözmek, kesin karar vermek","Settle, sort out, solve, work out","When technical problems are resolved, the system will work more efficiently.","Teknik sorunlar çözüldüğünde, sistem daha verimli çalışacaktır.",32,-,-,0
636,RURAL (adj),RURAL (adj),"Kırsal, taşra","Rustic, pastoral, countryside",Wood is the leading heating fuel in just a few rural counties.,"Odun, sadece birkaç kırsal ilçenin önde gelen ısıtma yakıtır.",32,-,-,0
637,SEEK (v),SEEK (v),"Çabalamak, çare aramak,çalışmak","Try, endeavor, attempt, strive",Geneticists seek to understand how the information encoded in genes is used and controlled by cells.,"Genetikçiler, genlerde kodlanan bilgilerin hücreler tarafından nasıl kullanıldığını ve kontrol edildiğini anlamaya çalışıyor.",32,-,-,0
638,SHALLOW (n),SHALLOW (n),Sığ,"Area, territory, field",A prolonged climate change event makes the life in shallow seas very hard.,"Uzun süren bir iklim değişikliği olayı, sığ denizlerdeki hayatı çok zor hale getirir.",32,-,-,0
639,STRAIGHTFORWARD (adj),STRAIGHTFORWARD (adj),"Anlaşılır, açık, basit","Uncomplicated, easy, basic, simple","Although the entity theory may seem relatively straightforward, its practical application is not.","Varoluş teorisi nispeten basit gibi görünse de, pratik uygulaması öyle değildir.",32,-,-,0
640,SURPASS (v),SURPASS (v),"Aşmak, ötesine geçmek","Exceed, go beyond","The global population, currently 6.6 billion, will surpass 9 billion before 2050.","Şu an 6.6 milyar olan küresel nüfus, 2050'den önce 9 milyar'ı aşacak.",32,-,-,0
641,DEBRIS (n),DEBRIS (n),"Kalıntı, enkaz","Remains, wreckage",There were vast amounts of debris in the stratosphere due meteors.,Meteorlardan dolayı stratosferde büyük miktarda kalıntı vardı.,33,-,-,0
642,DEFECT (n),DEFECT (n),"Kusur, bozukluk","Blemish, imperfection",Optical aberration is one of a number of defects that impair the image in an optical instrument.,"Optik sapma, optik bir enstrümandaki görüntüyü bozan pekçok kusurdan biridir.",33,-,-,0
643,ENFORCE (v),ENFORCE (v),"Mecbur etmek, zorlamak, uygulamak","Oblige, compel, urge",Ministry of environment enforces industrial factories to reduce carbon dioxide emissions.,Çevre Bakanlığı endüstriyel fabrikaları karbondioksit emisyonlarını azaltmaları için zorlamaktadır.,33,-,-,0
644,EXEMPLIFY (v),EXEMPLIFY (v),"Örneklerle göstermek, temsil etmek","Demonstrate, typify, represent","Nature Ecology & Evolution, exemplifies the traditional disciplinary approach.","Doğa Ekolojisi ve Evrimi, geleneksel disipliner yaklaşımı temsil eder.",33,-,-,0
645,EXPEND (v),EXPEND (v),"Tüketmek, sarfetmek, harcamak","Use up, spend, consume",The shark's longevity increases because it expends very little energy.,Köpekbalıklarının ömrü çok az enerji harcadığı için artar.,33,-,-,0
646,FEASIBLE (adj),FEASIBLE (adj),"Uygulanabilir, makul","Possible, practicable, viable, reasonable",He's skeptical that the cooling technologies are even feasible.,Soğutma teknolojilerinin bile uygulanabilir olduğundan şüphe duyar.,33,-,-,0
647,HANDLE (v),HANDLE (v),"Üstesinden gelmek, başa çıkmak"," Deal with, manage, cope with",Robots can handle toxic substances and lift heavy loads without injury.,Robotlar zehirli maddelerle başa çıkabilir ve ağır yükleri yaralanmadan kaldırabilir.,33,-,-,0
648,IMPURITY (n),IMPURITY (n),"Kirlilik, katışıklık","Contamination, pollution",Certain filters may help remove these impurities as well.,Bazı filtreler de bu kirlilikleri gidermeye yardımcı olabilir.,33,-,-,0
649,INDISPENSABLE (adj),INDISPENSABLE (adj),"Vazgeçilmez, zaruri, zorunlu","Necessary, essential, crucial, vital, required, obligatory",Alloys still have an indispensable place in modern technology.,Alaşımlar modern teknolojide hâlâ vazgeçilmez bir yere sahiptir.,33,-,-,0
650,INVARIABLY (adv),INVARIABLY (adv),"Devamlı, sürekli olarak, her zaman","Always, habitually, perpetually, consistently",Electric heating and air-conditioning are invariably run off the same system.,Elektrikli ısıtma ve soğutma her zaman aynı sistemden akar.,33,-,-,0
651,IRRELEVANT (adj),IRRELEVANT (adj),"İlgisiz, alakasız"," Immaterial, not pertinent, unrelated",We will become increasingly irrelevant to the rest of the world.,Dünyanın geri kalanına giderek ilgisiz kalacağız.,33,-,-,0
652,LUBRICATE (v),LUBRICATE (v),Yağlamak,"Oil, grease",Various systems lubricate engine moving parts.,Çeşitli sistemler motorun hareketli parçalarını yağlar.,33,-,-,0
653,METICULOUS (adj),METICULOUS (adj),"Titiz, dikkatli","Careful, scrupulous, finical","He carried out meticulous tests about geology, biology and anthropology.","Jeoloji, biyoloji ve antropoloji konusunda titiz testler yaptı.",33,-,-,0
654,OBSOLETE (adj),OBSOLETE (adj),"Modası geçmiş, eski, demode","Outdated, old-fashioned, out-of-date",New technology will soon make the Deep Space Network obsolete.,Yeni teknoloji yakında Derin Uzay Ağı'nı demode yapacak.,33,-,-,0
655,ORBIT (n),ORBIT (n),Yörünge,"Path of a planet, satellite, or moon",One of the newly-discovered exoplanets is similar to Jupiter in mass and orbit.,"Yeni keşfedilen dış gezegenlerden biri, Jüpiter'e kütle ve yörünge olarak benzemektedir.",33,-,-,0
656,PREVENTIVE (adj),PREVENTIVE (adj),"Önleyici, koruyucu",Deterrent,Weight loss sometimes may be the only effective preventive measure.,"Kilo verme, bazen tek etkili önleyici tedbir olabilir",33,-,-,0
657,PROSPEROUS (adj),PROSPEROUS (adj),"Zengin, müreffeh","Wealthy, affluent, rich, well-off",The company will continue to 'advocate for low carbon policies that will help ensure a healthier and more prosperous future.,"Şirket, ""daha sağlıklı ve müreffeh bir gelecek sağlamak için düşük karbon politikalarını savunmaya devam edecektir.",33,-,-,0
658,RESIDUAL (adj),RESIDUAL (adj),"Artık, kalıntı, tortusal",Leftover,"When their nuclear fuel is exhausted, stars die, and the residual iron core collapses on itself.",Nükleer yakıtları tükendiğinde yıldızlar ölür ve tortusal demir çekirdeği kendi üzerine çöker.,33,-,-,0
659,STARVATION (n),STARVATION (n), Açlık,"Hunger, deprivation",Fat cells hold on to every calorie in order to protect the body during periods of starvation,Açlık dönemlerinde vücudu korumak için yağ hücreleri her kaloriyi tutar,33,-,-,0
660,STEM from (v),STEM from (v),-den kaynaklanmak,"Come from, originate, arise, derive from",Most of our conscious vision stems from photoreceptors in the retina.,Bilinçli görüşümüzün çoğu retinadaki fotoreseptörlerden kaynaklanmaktadır.,33,-,-,0
661,ALLEVIATE (v),ALLEVIATE (v),"Hafifletmek, azaltmak","Lessen, lower","As well as reducing flood risk, afforestation alleviates soil erosion","Ağaçlandırma, taşkın riskini azaltmanın yanı sıra toprak erozyonunu azaltır.",34,-,-,0
662,AUGMENT (v),AUGMENT (v),"Artırmak, çoğaltmak","Increase, amplify, boost",Exercise also augments adult neurogenesis.,Egzersiz yetişkin hücre doğumunu da arttırır.,34,-,-,0
663,COHERENT (adj),COHERENT (adj),"Uyumlu, tutarlı","Consistent, logical, sound, reasonable, rational","Laser light is coherent; that is, the waves forming the beam are all in phase.","Lazer ışığı tutarlıdır, yani hüzmeyi oluşturan dalgaların hepsi aynı fazdadır.",34,-,-,0
664,CONDENSATION (n),CONDENSATION (n),Yoğuşma,"Concentration, compression","In the process of condensation, latent heat is released.",Yoğuşma sürecinde gizil ısı açığa çıkar,34,-,-,0
665,CONSTELLATION (n),CONSTELLATION (n), Takımyıldız,Group of stars forming shape,"The nebula is about 6,000 light-years from Earth, in the constellation Scorpius.","Nebula, Scorpius takımyıldızında, Dünya'dan yaklaşık 6.000 ışıkyılı uzaklıktadır.",34,-,-,0
666,DEGRADATION (n),DEGRADATION (n),"Bozulma, kötüleşme","Deterioration, degeneration",Mining operations are considered one of the main sources of environmental degradation.,"Madencilik işlemleri, çevresel bozulmanın ana kaynaklarından biri olarak düşünülür.",34,-,-,0
667,DEMISE (n),DEMISE (n),"Ölüm, yok oluş",Death,An asteroid that smashed into the Earth 65 million years ago is to blame for the demise of the dinosaurs.,"Dünya'ya 65 milyon yıl önce çarpan bir asteroid, dinozorların ölümünden sorumludur.",34,-,-,0
668,DOMESTIC (adj),DOMESTIC (adj),"Evcil, ev ile ilgili",Relating to home,Voice command operated domestic appliances have become very popular in the USA.,Ses kumandalı çalışan ev aletleri ABD'de çok popüler hale geldi.,34,-,-,0
669,DRAMATIC (adj),DRAMATIC (adj),"Çarpıcı, etkileyici","Considerable, substantial",There have been dramatic changes in the climate worldwide.,Dünya çapında iklimde çarpıcı değişiklikler oldu.,34,-,-,0
670,EVOLVE (v),EVOLVE (v),"Gelişmek, evrim geçirmek","Grow, progress, advance, develop",Life on Earth is believed to have evolved about 3.7 billion years ago,Dünya'daki yaşamın yaklaşık 3.7 milyar yıl önce geliştiği düşünülmektedir.,34,-,-,0
671,FERTILIZER (n),FERTILIZER (n),Gübre,"Manure, compost",Fruits and vegetables labeled organic are grown without the use of artificial fertilizers.,Organik olarak etiketlenmiş meyve ve sebzeler suni gübre kullanılmadan yetiştirilmektedir.,34,-,-,0
672,IGNEOUS (adj),IGNEOUS (adj),"Volkanik, magmatik",Formed from magma,"When igneous rocks are under stress, their molecular bonds break and release ionized oxygen","Magmatik kayaçlar baskı altında olduğunda, moleküler bağları ayrılır ve iyonize oksijen serbest kalır.",34,-,-,0
673,IMPETUS (n),IMPETUS (n),"Enerji, itici güç, hareket","Momentum, impulsion, movement, force",I hope that this experiment will be good impetus for future research,Umarım bu deney gelecekteki araştırmalar için iyi bir itici güç olacaktır.,34,-,-,0
674,INFECTIOUS (adj),INFECTIOUS (adj),"İntani, bulaşıcı","Transmissible, contagious",The major causes of death have shifted from infectious diseases to chronic diseases,Ölüm ana sebepleri bulaşıcı hastalıklardan kronik hastalıklara kaymıştır.,34,-,-,0
675,RELATED to (adj),RELATED to (adj),"-ile ilgili, alakalı","Connected, linked, associated, correlated",Volcanic activities can be related to earthquakes,Volkanik aktiviteler depremlerle ilgili olabilir.,34,-,-,0
676,SATISFACTORY (adj),SATISFACTORY (adj),"Tatmin edici, yeterli, makul","Acceptable, adequate, suitable, reasonable",The current status of global nutrition is far from satisfactory.,Küresel beslenmenin bugünkü durumu tatmin edici olmaktan çok uzaktır.,34,-,-,0
677,UNEVEN (adj),UNEVEN (adj),"İstikrarsız, değişken","Unbalanced, disproportionate, irregular",The distribution of animal and plant species in this area is highly uneven,Bu bölgedeki hayvan ve bitki türlerinin dağılımı oldukça değişkendir.,34,-,-,0
678,UNPRECEDENTED (adj),UNPRECEDENTED (adj),"Eşi benzeri görülmemiş, emsalsiz","Unique, exceptional",National leaders came together to take unprecedented measures against greenhouse gas emissions,"Ulusal liderler, sera gazı emisyonlarına karşı eşi benzeri görülmemiş önlemler almak için bir araya geldi",34,-,-,0
679,VIOLATE (v),VIOLATE (v),"İhlalde bulunmak, çiğnemek","Disobey, break","In Social Sciences, collecting big data risks violating human ethics.","Sosyal bilimlerde, büyük veri toplama, insan etiğini ihlal etme riski taşır.",34,-,-,0
680,WIPE OUT (phr v),WIPE OUT (phr v),Yok etmek,"Annihilate, destroy, eradicate, exterminate",The asteroid that wiped out the dinosaurs 66 million years ago left a crater only 110 miles in diameter.,"66 milyon yıl önce dinozorları yok eden asteroid, sadece 110 mil çapında bir krater bıraktı.",34,-,-,0
681,ADMIT (v),ADMIT (v),Kabul etmek,"Accept, acknowledge","Until the mid-1930s, it was admitted that all atoms were made up of neutrons, protons, and electrons.","1930'ların ortalarına kadar, tüm atomların, nötronlar, protonlar ve elektronlardan oluştuğu kabul ediliyordu.",35,-,-,0
682,BIZARRE (adj),BIZARRE (adj),"Tuhaf, acayip","Strange, unusual, weird, peculiar, odd",A bizarre new extinct reptile has been unearthed in Texas.,"Teksas'ta tuhaf, yeni nesli tükenmiş bir sürüngen ortaya çıkarıldı.",35,-,-,0
683,EMBODY (n),EMBODY (n),"Somutlaştırmak, şekillendirmek, içermek, temsil etmek","Incorporate, shape, symbolize, represent, stand for","This study embodies an unparalleled resource of high-resolution genetic, epigenetic and transcriptional data for the childhood brain tumour.","Bu çalışma, çocukluk beyin tümörü için benzersiz bir yüksek çözünürlüklü genetik, epigenetik ve transkripsiyonel veri kaynağını içermektedir.",35,-,-,0
684,EXISTENCE (n),EXISTENCE (n),"Varoluş, yaşam","Being life, presence, survival",The existence of galaxies was not recognized until the early 20th century.,20. Yüzyılın başlarına kadar galaksilerin varlığı fark edilmedi.,35,-,-,0
685,GADGET (n),GADGET (n),"Alet, aygıt","Device, tool, appliance",A few volts might be enough to power small gadgets.,Küçük aygıtları çalıştırmak için birkaç volt yeterli olabilir.,35,-,-,0
686,HINT (v),HINT (v)," İma etmek, üstü kapalı söylemek","Suggest, imply",Several studies hint that movement-based therapies boost abilities,"Birkaç çalışma, hareket temelli terapilerin yetenekleri artırdığını ima etmektedir.",35,-,-,0
687,INDIFFERENT (adj),INDIFFERENT (adj),"Umursamaz, ilgisiz, kayıtsız","Uninterested, reluctant",Politicians remain indifferent to the growing water crisis in the world.,"Politikacılar, dünyadaki artan su krizine kayıtsız kalmaktadır.",35,-,-,0
688,INTERFERE (v),INTERFERE (v),"Müdahale etmek, engellemek","Inhibit, restrict, hinder, obstruct, impede",Scientists were unsure whether they needed to interfere with the process.,"Bilim adamları, sürece müdahale etmek zorunda olup olmadıklarından emin değildi",35,-,-,0
689,LANDFILL (n),LANDFILL (n),"Atık sahası, çöp sahası","Garbage dump, junkyard",The city's three landfills are expected to reach capacity in two years.,Şehrin üç atık sahasının iki yıl içinde kapasitesine ulaşması bekleniyor.,35,-,-,0
690,MINUTE (adj),MINUTE (adj),"Çok küçük, minik","Very small, tiny",Karol Higgins usually uses a microscope when looking for minute clues during an investigation.,"Karol Higgins, soruşturma sırasında çok küçük ipuçlarını ararken genellikle mikroskop kullanır.",35,-,-,0
691,OBLIGATION (n),OBLIGATION (n),"Sorumluluk, zorunluluk, mecburiyet","Responsibility, requirement, compulsion, necessity",Engineers have ethical obligations to their clients.,Mühendislerin müşterilerine etik sorumlulukları vardır.,35,-,-,0
692,PREVALENT (adj),PREVALENT (adj),"Yaygın, genel, hakim","Widespread, dominant, common",Methane is the second most prevalent greenhouse gas after carbon dioxide.,"Metan, karbondioksitten sonra ikinci en yaygın sera gazıdır.",35,-,-,0
693,PROOF (n),PROOF (n),"Kanıt, ispat","Evidence, testimony, verification","There is strong proof that humans colonized the America 14,000 years ago.",İnsanların 14.000 yıl önce Amerika'yı sömürgeleştirdiğine dair güçlü kanıtlar vardır,35,-,-,0
694,RESIST (v),RESIST (v),"Mukavemet göstermek, karşı koymak, direnmek","Oppose, defy, withstand",Minnesota farmers have resisted efforts to cut down on irrigation, Minnesota çiftçileri sulamayı azaltma çabalarına direnmektedir.,35,-,-,0
695,SENSITIVE (adj),SENSITIVE (adj),"Hassas, narin, duyarlı","Delicate, irritable, susceptible",Otto Lehmann observed that liquid crystals are remarkably sensitive,Otto Lehman sıvı kristallerin oldukça hassas olduğunu gözlemledi,35,-,-,0
696,SHIFT (v),SHIFT (v),Değiştirmek,"Change, alter",The Himalayas is shifting its position at the rate of approximately 15 centimetres annually.,"Himalayalar, konumunu yılda yaklaşık 15 santimetrelik bir oranda değiştiriyor.",35,-,-,0
697,SIGNIFICANT (adj),SIGNIFICANT (adj),"Önemli, dikkate değer","Important, noteworthy, momentous, substantial",Weak static magnetic fields like the Earth's have significant effects on the human body,Dünya'nınki gibi zayıf statik manyetik alanlar insan vücudu üzerinde önemli etkilere sahiptir,35,-,-,0
698,STRUGGLE (v),STRUGGLE (v),Mücadele etmek,"Strive, try, fight",The body's normal defences struggle to clear the body of HIV and cancer.,Vücudun normal savunmaları HIV ve kanserden vücudu temizlemek için mücadele eder.,35,-,-,0
699,SUMMIT (n),SUMMIT (n),Zirve,"Top, pinnacle, zenith, peak",The archipelago consists of coral reefs sitting atop mountain summits rising from the sea floor,Takımadalar deniz tabanından yükselen dağ zirvelerinin üstünde oturan mercan kayalıklarından oluşur.,35,-,-,0
700,SURFACE (n),SURFACE (n),Yüzey,Outer part,The ability of gecko lizards to stick to surfaces is the main subject of the experiment.,"Gecko kertenkelelerinin yüzeylere yapışma yeteneği, deneyin ana konusudur.",35,-,-,0
701,ASSESS (v),ASSESS (v),Değerlendirmek,"Evaluate, appraise",The client often cannot assess the quality of the engineer's technical advice.,Müşteri mühendisin teknik tavsiyesinin niteliğini genelde değerlendiremez.,36,-,-,0
702,COLLAPSE (v),COLLAPSE (v),"Çökmek, yıkılmak",Fall down,It took only about 30 seconds for the bridge to collapse.,Köprünün çökmesi yaklaşık 30 saniye sürdü.,36,-,-,0
703,CONCLUSION (n),CONCLUSION (n),"Sonuç, karar","Finale, ending, last decision",These conclusions are based on data taken from the U.S.,Bu sonuçlar ABD'den alınan verilere dayanmaktadır.,36,-,-,0
